consent_reference,tk_id,holder_pseudonym_id,community_council_id,council_endorsement_ref,consent_language,consent_format,consent_date,audio_consent_granted,named_attribution_opt_in,benefit_sharing_agreement_ref,withdrawal_status,withdrawal_date,witnessed_by
FPIC-ZW-2026-C025,ZW-TK-2026-025,HLD-MW-033,CC-GOKWE-02,END-CC02-2026-009,sn,signed_paper_shona,2026-10-20,yes,no,BSA-ZW-2026-025,active,,LIA-MW-02
FPIC-ZW-2026-C026,ZW-TK-2026-026,HLD-MW-077,CC-HWANGE-06,END-CC06-2026-003,nd,signed_paper_ndebele,2026-10-21,yes,no,BSA-ZW-2026-026,active,,LIA-MW-03
FPIC-ZW-2026-C027,ZW-TK-2026-027,HLD-EH-033,CC-NYANGA-05,END-CC05-2026-002,sn,signed_paper_shona,2026-10-22,yes,no,BSA-ZW-2026-027,active,,LIA-EH-02
FPIC-ZW-2026-C028,ZW-TK-2026-028,HLD-MS-024,CC-MATOBO-04,END-CC04-2026-001,nd,signed_paper_ndebele,2026-10-23,yes,no,BSA-ZW-2026-028,active,,LIA-MS-01
FPIC-ZW-2026-C029,ZW-TK-2026-029,HLD-EH-071,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-10-24,yes,no,BSA-ZW-2026-029,active,,LIA-EH-01
FPIC-ZW-2026-C030,ZW-TK-2026-030,HLD-LV-063,CC-CHIREDZI-07,END-CC07-2026-004,sn,signed_paper_shona,2026-10-10,yes,no,BSA-ZW-2026-030,active,,LIA-LV-02
FPIC-ZW-2026-C031,ZW-TK-2026-031,HLD-EH-092,CC-NYANGA-05,END-CC05-2026-002,sn,signed_paper_shona,2026-10-11,yes,no,BSA-ZW-2026-031,active,,LIA-EH-02
FPIC-ZW-2026-C032,ZW-TK-2026-032,HLD-BN-014,CC-BINGA-01,END-CC01-2026-002,nd,signed_paper_ndebele,2026-10-12,yes,no,BSA-ZW-2026-032,active,,LIA-BN-01
FPIC-ZW-2026-C033,ZW-TK-2026-033,HLD-MW-041,CC-GOKWE-02,END-CC02-2026-009,sn,signed_paper_shona,2026-11-13,yes,no,BSA-ZW-2026-033,active,,LIA-MW-01
FPIC-ZW-2026-C034,ZW-TK-2026-034,HLD-MS-038,CC-MATOBO-04,END-CC04-2026-001,nd,signed_paper_ndebele,2026-11-14,yes,no,BSA-ZW-2026-034,active,,LIA-MS-01
FPIC-ZW-2026-C035,ZW-TK-2026-035,HLD-LV-082,CC-CHIREDZI-07,END-CC07-2026-004,sn,signed_paper_shona,2026-11-15,yes,no,BSA-ZW-2026-035,active,,LIA-LV-03
FPIC-ZW-2026-C036,ZW-TK-2026-036,HLD-EH-049,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-11-16,yes,no,BSA-ZW-2026-036,active,,LIA-EH-01
FPIC-ZW-2026-C037,ZW-TK-2026-037,HLD-MW-105,CC-HWANGE-06,END-CC06-2026-003,nd,signed_paper_ndebele,2026-11-17,yes,no,BSA-ZW-2026-037,active,,LIA-MW-03
FPIC-ZW-2026-C038,ZW-TK-2026-038,HLD-MW-062,CC-GOKWE-02,END-CC02-2026-009,sn,signed_paper_shona,2026-11-18,yes,no,BSA-ZW-2026-038,active,,LIA-MW-02
FPIC-ZW-2026-C039,ZW-TK-2026-039,HLD-MS-051,CC-MATOBO-04,END-CC04-2026-001,nd,signed_paper_ndebele,2026-11-19,yes,no,BSA-ZW-2026-039,active,,LIA-MS-01
FPIC-ZW-2026-C040,ZW-TK-2026-040,HLD-EH-104,CC-NYANGA-05,END-CC05-2026-002,sn,signed_paper_shona,2026-11-20,yes,no,BSA-ZW-2026-040,active,,LIA-EH-02
FPIC-ZW-2026-C041,ZW-TK-2026-041,HLD-LV-091,CC-CHIREDZI-07,END-CC07-2026-004,sn,signed_paper_shona,2026-11-21,yes,no,BSA-ZW-2026-041,active,,LIA-LV-01
FPIC-ZW-2026-C042,ZW-TK-2026-042,HLD-MW-079,CC-GOKWE-02,END-CC02-2026-009,sn,signed_paper_shona,2026-11-22,yes,no,BSA-ZW-2026-042,active,,LIA-MW-02
FPIC-ZW-2026-C043,ZW-TK-2026-043,HLD-EH-115,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-12-23,yes,no,BSA-ZW-2026-043,active,,LIA-EH-01
FPIC-ZW-2026-C044,ZW-TK-2026-044,HLD-BN-027,CC-BINGA-01,END-CC01-2026-002,nd,signed_paper_ndebele,2026-12-24,yes,no,BSA-ZW-2026-044,active,,LIA-BN-01
FPIC-ZW-2026-C045,ZW-TK-2026-045,HLD-LV-102,CC-CHIREDZI-07,END-CC07-2026-004,sn,signed_paper_shona,2026-12-10,yes,no,BSA-ZW-2026-045,active,,LIA-LV-02
FPIC-ZW-2026-C046,ZW-TK-2026-046,HLD-MW-088,CC-GOKWE-02,END-CC02-2026-009,sn,signed_paper_shona,2026-12-11,yes,no,BSA-ZW-2026-046,active,,LIA-MW-01
FPIC-ZW-2026-C047,ZW-TK-2026-047,HLD-MS-067,CC-MATOBO-04,END-CC04-2026-001,nd,signed_paper_ndebele,2026-12-12,yes,no,BSA-ZW-2026-047,active,,LIA-MS-01
FPIC-ZW-2026-C048,ZW-TK-2026-048,HLD-EH-122,CC-NYANGA-05,END-CC05-2026-002,sn,signed_paper_shona,2026-12-13,yes,no,BSA-ZW-2026-048,active,,LIA-EH-02
FPIC-ZW-2026-C049,ZW-TK-2026-049,HLD-MW-118,CC-HWANGE-06,END-CC06-2026-003,nd,signed_paper_ndebele,2026-12-14,yes,no,BSA-ZW-2026-049,active,,LIA-MW-03
FPIC-ZW-2026-C050,ZW-TK-2026-050,HLD-LV-114,CC-CHIREDZI-07,END-CC07-2026-004,sn,signed_paper_shona,2026-12-15,yes,no,BSA-ZW-2026-050,active,,LIA-LV-03
FPIC-ZW-2026-C051,ZW-TK-2026-051,HLD-MS-082,CC-MATOBO-04,END-CC04-2026-001,nd,signed_paper_ndebele,2026-12-16,yes,no,BSA-ZW-2026-051,active,,LIA-MS-01
FPIC-ZW-2026-C052,ZW-TK-2026-052,HLD-EH-135,CC-CHIMANIMANI-03,END-CC03-2026-011,sn,signed_paper_shona,2026-12-17,yes,no,BSA-ZW-2026-052,active,,LIA-EH-01
